PATH	DURATION	GROUNDTRUTH	GREEDY	BEAMSEARCH
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot6.flac	3.0	shoot	shoot	shoot
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left6.flac	3.0	shoot	shoot	shoot
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot4.flac	3.0	turn around	turn around 	turn around 
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/turn_around/around9.flac	3.0	turn right	ton right 	ton right 
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/turn_around/around5.flac	3.0	turn right	turn rack	turn rack
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left2.flac	3.0	going	going	going
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/turn_around/around.flac	3.0	turn around	turn around	turn around
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot10.flac	3.0	shoot	shoot	shoot
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left1.flac	3.0	going	going	going
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/right/right3.flac	3.0	turn left	tun left 	tun left 
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot9.flac	3.0	turn around	turn around	turn around
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/right/right5.flac	3.0	turn right	turn right	turn right
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left3.flac	3.0	turn around	till aroma	till aroma
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left.flac	3.0	turn right	turn right 	turn right 
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left10.flac	3.0	going	going	going
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/going/going6.flac	3.0	going	going	going
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot1.flac	3.0	shoot	shoot	shoot
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/right/right8.flac	3.0	going	going	going
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot7.flac	3.0	shoot	shoot	shoot
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/shoot/shoot2.flac	3.0	turn left	tun left	tun left
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/going/going5.flac	3.0	turn right	turn right 	turn right 
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/right/right7.flac	3.0	shoot	shoot	shoot
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/going/going0.flac	3.0	going	going	going
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/left/left5.flac	3.0	going	goi	goi
/home/liu/datasets/LibriSpeech/train-clean-100/wave_dataset/turn_around/around7.flac	3.0	turn left	tune left 	tune left 
